Size, Unordered, Ordered, Almost ordered, Reverse ordered 
7440001,1651079,564476,606479,572868, 
7460001,1593452,566646,676268,655374, 
7480001,1774182,570986,609199,574373, 
7500001,1581598,572833,636971,575635, 
7520001,1657869,596403,648724,583499, 
7540001,1604850,585823,721963,576736, 
7560001,1599640,583984,616363,576789, 
7580001,1604592,578688,618854,578971, 
7600001,1614146,578798,632411,579744, 
7620001,1633727,583958,798738,629368, 
7640001,1674894,613042,747780,625623, 
7660001,1704606,605652,832756,645596, 
7680001,1731592,637785,770556,617046, 
7700001,1675564,625848,654049,609941, 
7720001,1733235,673251,1028226,723607, 
7740001,1670566,594367,923472,608885, 
7760001,1771143,647431,753100,604324, 
7780001,1673612,675394,801702,629805, 
7800001,1666187,596124,693166,652486, 
7820001,1740476,609482,798569,640915, 
7840001,1745775,609337,696061,608270, 
7860001,1702200,611487,647441,599910, 
7880001,1675144,602061,643607,653266, 
7900001,1704995,605181,676223,653666, 
7920001,1745195,621185,682991,626440, 
7940001,1708867,645642,685076,660816, 
7960001,2051557,611921,677481,616914, 
7980001,1710824,634951,739950,670832, 
8000001,1787123,664402,949353,943944, 
8020001,1796295,701427,718978,691149, 
8040001,1788108,677310,1022717,974686, 
8060001,2389482,651978,657428,666650, 
8080001,1965893,642575,770702,635358, 
8100001,1778762,665686,892714,637676, 
8120001,1735562,621444,902452,624395, 
8140001,1749603,629671,700763,667849, 
8160001,1905666,868327,1086663,655924, 
8180001,2393006,1149748,1226218,1017271, 
8200001,2541718,897292,937924,836830, 
8220001,1900854,649642,885639,658937, 
8240001,1908719,684374,763461,671448, 
8260001,1844266,631995,742922,635332, 
8280001,1803271,649935,784738,649292, 
8300001,1823154,653360,848400,654433, 
8320001,1852514,641777,881470,647662, 
8340001,1802509,641540,705559,652359, 
8360001,1834428,651722,782640,666116, 
8380001,1846256,646761,732200,675080, 
8400001,1845863,636618,771091,663511, 
8420001,1837538,656043,728402,675931, 
8440001,1888706,669599,728790,668241, 
8460001,1851917,684628,807303,671288, 
8480001,1871305,649301,746481,646740, 
8500001,1844700,655572,691728,645818, 
8520001,1849184,670209,822118,658364, 
8540001,1922673,657783,939514,666123, 
8560001,1884656,650580,714605,667815, 
8580001,1867996,673447,720156,667963, 
8600001,1875864,669005,938119,672399, 
8620001,1928590,685751,803399,681387,
